thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;thr_210;thr_230;
0.998703;0.962100;0.862760;0.781341;0.640270;0.273094;0.117586;0.046400;0.016590;0.010392;0.004601;0.002858;
0.999387;0.969246;0.877307;0.791462;0.662665;0.289357;0.110250;0.027674;0.003253;0.003146;0.002858;0.002858;
0.999460;0.979058;0.888511;0.809870;0.682352;0.299188;0.119923;0.044396;0.010037;0.004631;0.003100;0.002858;
0.999206;0.982694;0.883255;0.785565;0.613173;0.235238;0.083024;0.028433;0.005538;0.004894;0.004264;0.003954;
0.999049;0.962199;0.870189;0.792678;0.639250;0.252435;0.092325;0.029376;0.004840;0.003188;0.002833;0.002833;
0.999916;0.986007;0.893991;0.805050;0.644417;0.253315;0.093536;0.029072;0.003992;0.003183;0.002833;0.002833;
0.999945;0.984102;0.901632;0.833095;0.699001;0.329022;0.164667;0.077406;0.029545;0.010430;0.004211;0.002833;
0.999470;0.977913;0.871496;0.795978;0.645752;0.295462;0.137428;0.047645;0.007702;0.003542;0.002833;0.002833;
0.989096;0.944087;0.862316;0.788934;0.632907;0.276245;0.118134;0.047731;0.012651;0.007669;0.004902;0.003627;
0.988448;0.952837;0.885120;0.811902;0.652369;0.319298;0.157661;0.078143;0.043253;0.028815;0.020584;0.016542;
0.987203;0.935135;0.880441;0.804714;0.676756;0.349244;0.171961;0.077913;0.034027;0.016532;0.007718;0.003001;
0.999890;0.971827;0.901621;0.820118;0.676644;0.303571;0.131689;0.052141;0.017460;0.010161;0.005881;0.004136;
0.998493;0.952994;0.884597;0.804899;0.657459;0.310158;0.158898;0.087586;0.044478;0.028659;0.011421;0.003086;
0.999941;0.984963;0.892076;0.800460;0.648949;0.249962;0.097679;0.033092;0.006297;0.003716;0.002877;0.002877;
0.998672;0.986048;0.894756;0.790549;0.629157;0.231441;0.090152;0.025092;0.003492;0.003129;0.002877;0.002877;
0.999964;0.987316;0.895012;0.807057;0.668162;0.281348;0.126885;0.050958;0.021797;0.014134;0.006574;0.002877;
0.999961;0.985786;0.876824;0.784660;0.639584;0.252511;0.098171;0.034185;0.007155;0.004048;0.002916;0.002877;
0.982146;0.941416;0.838861;0.768058;0.639647;0.280097;0.123875;0.054212;0.021442;0.012195;0.006390;0.002938;
0.999942;0.986586;0.890285;0.804073;0.679733;0.302983;0.145946;0.069979;0.033460;0.018509;0.009026;0.005913;
0.999698;0.976493;0.878416;0.787651;0.651510;0.278383;0.111349;0.030561;0.004418;0.003229;0.002854;0.002854;
0.999817;0.984886;0.890360;0.798424;0.656301;0.275616;0.114561;0.035319;0.005416;0.003277;0.002854;0.002854;
0.999837;0.984714;0.898133;0.803796;0.660053;0.263945;0.118702;0.055240;0.024814;0.020163;0.016478;0.012318;
0.992109;0.956400;0.885852;0.781521;0.633865;0.230449;0.089095;0.026066;0.003492;0.003205;0.002854;0.002854;
0.997645;0.966184;0.863759;0.777174;0.652399;0.269617;0.116122;0.044519;0.012601;0.006667;0.003123;0.002866;
0.999768;0.984186;0.895584;0.819032;0.690710;0.300442;0.130441;0.049937;0.014893;0.005519;0.002970;0.002866;
0.999797;0.986044;0.886885;0.793636;0.656580;0.258487;0.102183;0.034941;0.004632;0.003321;0.002877;0.002866;
0.999628;0.977139;0.881944;0.798538;0.673485;0.306032;0.137888;0.056936;0.019056;0.008801;0.004092;0.002866;
0.999456;0.976519;0.897244;0.809995;0.655669;0.262347;0.104953;0.041521;0.015217;0.009013;0.005073;0.002866;
0.994656;0.947951;0.856079;0.771909;0.635800;0.255306;0.102250;0.031663;0.004485;0.003295;0.002891;0.002872;
0.999983;0.990954;0.888925;0.798496;0.664634;0.293313;0.142559;0.064553;0.026676;0.007033;0.003112;0.002837;
0.998648;0.972575;0.901822;0.836143;0.693799;0.359080;0.206835;0.124320;0.069172;0.034880;0.017176;0.008695;
0.993628;0.943707;0.884911;0.823214;0.659368;0.342462;0.177910;0.099435;0.052740;0.026533;0.012184;0.003757;
0.990873;0.957293;0.882663;0.806068;0.658730;0.316224;0.153575;0.073356;0.024084;0.008524;0.003328;0.002837;
0.999979;0.982133;0.892958;0.792702;0.615371;0.236796;0.096493;0.035000;0.009160;0.004133;0.002865;0.002837;
0.999996;0.986480;0.902247;0.812968;0.635018;0.251899;0.114679;0.046468;0.013340;0.004687;0.002961;0.002837;
0.999985;0.990558;0.891723;0.783996;0.613554;0.226625;0.085738;0.024413;0.004221;0.003875;0.003319;0.003159;
0.984227;0.947548;0.857412;0.773121;0.614993;0.250753;0.102061;0.027744;0.003741;0.003104;0.002835;0.002835;
0.999817;0.979240;0.880392;0.798392;0.651070;0.250661;0.110295;0.042185;0.014580;0.007870;0.005135;0.003805;
0.996079;0.969327;0.865103;0.773566;0.641517;0.277248;0.117831;0.045251;0.016613;0.009576;0.004729;0.003541;
0.999570;0.985897;0.879540;0.787811;0.642145;0.245076;0.090913;0.026906;0.005025;0.003164;0.002835;0.002835;
0.999996;0.994654;0.888136;0.803625;0.676862;0.300095;0.144041;0.071977;0.031941;0.010638;0.004220;0.002835;
