thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240
0,932682;0,807581;0,699756;0,534359;0,345521;0,145967;0,000033;0
0,933506;0,805332;0,711748;0,541748;0,337601;0,149137;0;0
0,938063;0,809574;0,70973;0,532148;0,339652;0,14626;0;0
0,93112;0,806999;0,70391;0,514873;0,333535;0,146029;0;0
0,928418;0,798844;0,689834;0,504847;0,327077;0,147897;0;0
0,925254;0,801543;0,692907;0,508265;0,325612;0,1443;0;0
0,930036;0,801478;0,690257;0,513099;0,332298;0,143835;0;0
0,934652;0,808854;0,702894;0,536016;0,342178;0,148535;0;0
0,932051;0,803903;0,701683;0,534837;0,342354;0,147282;0;0
0,930941;0,797542;0,696354;0,512148;0,346201;0,14182;0,000016;0
0,928538;0,790762;0,68988;0,501182;0,325306;0,143652;0;0
0,92654;0,789655;0,69028;0,497881;0,327373;0,144167;0,000023;0
0,927194;0,792643;0,691826;0,501227;0,321611;0,140684;0,000003;0
0,92751;0,790807;0,697715;0,539779;0,3468;0,146299;0;0
0,925544;0,788464;0,69682;0,556094;0,373291;0,155094;0;0
0,926003;0,794284;0,695833;0,532389;0,366462;0,165856;0,000007;0
0,924001;0,801755;0,690869;0,532132;0,345944;0,159749;0;0
0,923968;0,79793;0,682699;0,507972;0,335127;0,152594;0;0
0,921641;0,795811;0,688213;0,511051;0,333604;0,150706;0,00001;0
0,922868;0,7986;0,687031;0,52278;0,342464;0,15099;0;0
0,924489;0,796898;0,690443;0,515469;0,333971;0,15123;0,000013;0
0,921396;0,795371;0,696208;0,505329;0,331729;0,150339;0,000003;0
0,92291;0,78944;0,689515;0,500358;0,329079;0,145267;0;0
0,922074;0,792497;0,682708;0,486536;0,327868;0,147217;0;0
0,918672;0,791357;0,68446;0,505212;0,336712;0,152314;0;0
0,931074;0,8025;0,691055;0,50346;0,33002;0,150452;0;0
0,924199;0,799928;0,694232;0,503418;0,331165;0,149014;0;0
0,919678;0,785941;0,690957;0,504202;0,337012;0,155316;0;0
0,920651;0,790703;0,685934;0,505306;0,335361;0,154736;0;0
0,921904;0,78751;0,683219;0,504456;0,339958;0,155908;0;0
0,934004;0,797402;0,6907;0,501504;0,343952;0,153805;0;0
0,925498;0,795745;0,69097;0,50167;0,334294;0,152933;0,000081;0
