thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;thr_210;thr_230;
0.080961;0.040145;0.021114;0.013646;0.007394;0.000933;0.000002;0.000000;0.000000;0.000000;0.000000;0.000000;
0.208592;0.122939;0.071824;0.040221;0.018064;0.005232;0.001369;0.000246;0.000000;0.000000;0.000000;0.000000;
0.277225;0.168657;0.090050;0.052508;0.031931;0.018129;0.009257;0.003366;0.000620;0.000000;0.000000;0.000000;
0.196059;0.096820;0.049823;0.015915;0.001587;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.159663;0.081152;0.050655;0.029759;0.018369;0.009660;0.002702;0.000103;0.000000;0.000000;0.000000;0.000000;
0.111714;0.060528;0.030354;0.005106;0.000505;0.000082;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.160792;0.083694;0.041878;0.017821;0.005864;0.002552;0.001415;0.000015;0.000000;0.000000;0.000000;0.000000;
0.117917;0.056978;0.023904;0.009005;0.002635;0.000386;0.000001;0.000000;0.000000;0.000000;0.000000;0.000000;
0.116106;0.055916;0.028153;0.013231;0.004149;0.000219;0.000016;0.000014;0.000009;0.000000;0.000000;0.000000;
0.118767;0.068868;0.042083;0.018704;0.007093;0.002662;0.000286;0.000000;0.000000;0.000000;0.000000;0.000000;
0.223763;0.147668;0.099143;0.067091;0.044389;0.032320;0.022498;0.014156;0.006222;0.001682;0.000647;0.000016;
0.141452;0.063153;0.027305;0.007331;0.000948;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.186151;0.123548;0.094166;0.066303;0.040216;0.022331;0.011046;0.005017;0.001591;0.000031;0.000000;0.000000;
0.162061;0.084782;0.048939;0.032806;0.024686;0.016698;0.008096;0.002789;0.001332;0.000000;0.000000;0.000000;
0.194468;0.118030;0.068675;0.039364;0.019814;0.010246;0.002513;0.000981;0.000107;0.000000;0.000000;0.000000;
0.132983;0.079155;0.050005;0.026611;0.007029;0.001374;0.000049;0.000000;0.000000;0.000000;0.000000;0.000000;
0.098510;0.058046;0.036660;0.017360;0.005171;0.001375;0.000132;0.000031;0.000000;0.000000;0.000000;0.000000;
0.107892;0.052605;0.022693;0.005806;0.000531;0.000001;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.092986;0.046964;0.025982;0.013604;0.004918;0.000826;0.000001;0.000000;0.000000;0.000000;0.000000;0.000000;
0.099773;0.054036;0.031226;0.019419;0.010519;0.004896;0.000496;0.000000;0.000000;0.000000;0.000000;0.000000;
0.131162;0.063185;0.030200;0.017068;0.006889;0.000941;0.000120;0.000000;0.000000;0.000000;0.000000;0.000000;
0.064735;0.026221;0.007721;0.000539;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.149882;0.086834;0.054672;0.029030;0.007568;0.000563;0.000040;0.000000;0.000000;0.000000;0.000000;0.000000;
0.089257;0.037192;0.011955;0.003919;0.000058;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
