thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;
0.999392;0.983901;0.906071;0.833133;0.688313;0.311697;0.154926;0.069895;0.029808;0.012189;
0.997853;0.960012;0.871871;0.799503;0.676177;0.326810;0.145202;0.057948;0.019730;0.011748;
0.979140;0.933163;0.850036;0.770505;0.626216;0.270615;0.114206;0.043350;0.015812;0.009549;
0.992016;0.946090;0.863998;0.800328;0.681621;0.339103;0.155962;0.067176;0.030990;0.016391;
0.994794;0.958264;0.882566;0.822808;0.660971;0.348917;0.186616;0.101492;0.048332;0.026304;
0.998528;0.960551;0.900266;0.818140;0.616414;0.278474;0.114890;0.041459;0.006534;0.003212;
0.999707;0.978916;0.886325;0.805816;0.634060;0.267699;0.121687;0.055900;0.023254;0.015151;
0.999041;0.972151;0.876303;0.788262;0.601502;0.238142;0.100393;0.030377;0.004567;0.003211;
0.999239;0.977694;0.896149;0.823240;0.649540;0.260446;0.109373;0.032863;0.004619;0.003046;
0.999265;0.969118;0.874722;0.790965;0.609440;0.239525;0.096332;0.031037;0.008995;0.005130;
0.999983;0.986082;0.883031;0.804304;0.624908;0.234180;0.083049;0.021495;0.004332;0.003288;
0.996007;0.965804;0.876221;0.808656;0.633143;0.243537;0.097436;0.028048;0.007151;0.003194;
0.997258;0.957846;0.869437;0.804532;0.669976;0.331309;0.173072;0.083276;0.043405;0.027552;
0.999963;0.989487;0.881317;0.798698;0.642561;0.274768;0.117580;0.040540;0.005324;0.003132;
0.999996;0.994634;0.913136;0.829232;0.666943;0.282857;0.142416;0.075332;0.039223;0.026985;
0.999424;0.983601;0.906147;0.815929;0.665714;0.272048;0.125036;0.058043;0.022130;0.015429;
0.999763;0.976804;0.904941;0.823135;0.674982;0.307882;0.141145;0.053069;0.014565;0.008688;
0.999935;0.987421;0.891918;0.813970;0.666939;0.268547;0.116875;0.045665;0.012775;0.005776;
0.997680;0.974978;0.890921;0.802976;0.649312;0.256921;0.107115;0.046277;0.015760;0.008663;
0.999919;0.976941;0.884831;0.798420;0.658022;0.258777;0.102320;0.033215;0.004850;0.003200;
0.999905;0.986758;0.886981;0.791406;0.650173;0.259415;0.104013;0.037052;0.010787;0.006419;
0.994001;0.966505;0.866375;0.789556;0.658939;0.268279;0.122048;0.046181;0.015804;0.010011;
0.999416;0.987445;0.895782;0.796348;0.632508;0.261006;0.111247;0.036474;0.005690;0.003188;
0.999721;0.957916;0.848736;0.783154;0.641471;0.254171;0.093914;0.030256;0.005093;0.003671;
0.999845;0.981098;0.896097;0.814389;0.669951;0.272334;0.118373;0.049944;0.015597;0.005953;
0.999966;0.988919;0.882411;0.790763;0.658636;0.254389;0.092923;0.024345;0.003245;0.003197;
0.999971;0.983377;0.880860;0.782622;0.644717;0.242971;0.090919;0.025808;0.003429;0.003200;
0.988384;0.954568;0.868739;0.784660;0.650894;0.252280;0.103270;0.039393;0.010498;0.007423;
0.995905;0.952962;0.876736;0.785562;0.656170;0.269295;0.117250;0.053760;0.023803;0.017436;
0.999608;0.981962;0.905454;0.813480;0.694801;0.321173;0.150571;0.059580;0.019564;0.010362;
0.990224;0.942141;0.847709;0.770866;0.609397;0.246407;0.094587;0.030354;0.004333;0.003229;
0.999827;0.980623;0.907177;0.821773;0.677042;0.290408;0.137793;0.064181;0.026808;0.011038;
0.998703;0.962100;0.862760;0.781341;0.640270;0.273094;0.117586;0.046400;0.016590;0.010392;
0.999387;0.969246;0.877307;0.791462;0.662665;0.289357;0.110250;0.027674;0.003253;0.003146;
0.999460;0.979058;0.888511;0.809870;0.682352;0.299188;0.119923;0.044396;0.010037;0.004631;
0.999206;0.982694;0.883255;0.785565;0.613173;0.235238;0.083024;0.028433;0.005538;0.004894;
0.999049;0.962199;0.870189;0.792678;0.639250;0.252435;0.092325;0.029376;0.004840;0.003188;
0.999916;0.986007;0.893991;0.805050;0.644417;0.253315;0.093536;0.029072;0.003992;0.003183;
0.999945;0.984102;0.901632;0.833095;0.699001;0.329022;0.164667;0.077406;0.029545;0.010430;
0.999470;0.977913;0.871496;0.795978;0.645752;0.295462;0.137428;0.047645;0.007702;0.003542;
0.989096;0.944087;0.862316;0.788934;0.632907;0.276245;0.118134;0.047731;0.012651;0.007669;
0.988448;0.952837;0.885120;0.811902;0.652369;0.319298;0.157661;0.078143;0.043253;0.028815;
0.987203;0.935135;0.880441;0.804714;0.676756;0.349244;0.171961;0.077913;0.034027;0.016532;
0.999890;0.971827;0.901621;0.820118;0.676644;0.303571;0.131689;0.052141;0.017460;0.010161;
0.998493;0.952994;0.884597;0.804899;0.657459;0.310158;0.158898;0.087586;0.044478;0.028659;
0.999941;0.984963;0.892076;0.800460;0.648949;0.249962;0.097679;0.033092;0.006297;0.003716;
0.998672;0.986048;0.894756;0.790549;0.629157;0.231441;0.090152;0.025092;0.003492;0.003129;
0.999964;0.987316;0.895012;0.807057;0.668162;0.281348;0.126885;0.050958;0.021797;0.014134;
0.999961;0.985786;0.876824;0.784660;0.639584;0.252511;0.098171;0.034185;0.007155;0.004048;
0.982146;0.941416;0.838861;0.768058;0.639647;0.280097;0.123875;0.054212;0.021442;0.012195;
0.999942;0.986586;0.890285;0.804073;0.679733;0.302983;0.145946;0.069979;0.033460;0.018509;
